order_id,product_id,quantity,unit_price
O00001,P0031,16.0,74300.0
O00001,P0059,3.0,
O00002,P0070,48.0,
O00002,P0129,37.0,136800.0
O00003,P0110,9.0,268700.0
O00003,P0034,49.0,316800.0
O00004,P0065,37.0,298600.0
O00004,P0071,7.0,336400.0
O00005,P0018,17.0,169400.0
O00005,P0034,20.0,269500.0
O00006,P0125,,166600.0
O00006,P0047,8.0,247700.0
O00007,P0053,9.0,108700.0
O00007,P0012,18.0,378400.0
O00008,P0082,10.0,243100.0
O00008,P0123,30.0,
O00009,P0011,29.0,60000.0
O00009,P0127,41.0,116900.0
O00010,P0063,4.0,206900.0
O00010,P0138,41.0,
O00010,P0116,11.0,443900.0
O00011,P0042,48.0,166400.0
O00011,P0048,41.0,
O00011,P0088,31.0,61900.0
O00012,P0037,11.0,199200.0
O00012,P0011,44.0,59300.0
O00013,P0052,42.0,532400.0
O00013,P0045,28.0,82000.0
O00014,P0133,13.0,172600.0
O00014,P0091,2.0,151800.0
O00014,P0143,21.0,220400.0
O00015,P0144,,30200.0
O00015,P0009,11.0,
O00016,P0072,37.0,165500.0
O00016,P0078,21.0,473400.0
O00017,P0130,41.0,334600.0
O00017,P0107,16.0,513800.0
O00018,P0064,20.0,108500.0
O00018,P0018,43.0,153600.0
O00019,P0071,21.0,418500.0
O00019,P0005,12.0,418500.0
O00019,P0049,35.0,141000.0
O00020,P0074,20.0,118700.0
O00020,P0022,1.0,228800.0
O00021,P0135,25.0,404300.0
O00021,P0115,,130900.0
O00021,P0032,28.0,294200.0
O00022,P0071,29.0,341100.0
O00022,P0023,28.0,159500.0
O00023,P0056,13.0,348500.0
O00023,P0064,39.0,120500.0
O00024,P0117,14.0,469500.0
O00024,P0141,6.0,52400.0
O00025,P0088,33.0,
O00025,P0121,-46.0,13100.0
O00026,P0077,25.0,77500.0
O00026,P0019,10.0,128000.0
O00027,P0138,-48.0,66100.0
O00027,P0035,19.0,327000.0
O00027,P0005,29.0,440000.0
O00028,P0036,26.0,97300.0
O00028,P0127,23.0,128700.0
O00029,P0142,46.0,164100.0
O00029,P0036,49.0,103500.0
O00030,P0002,,342300.0
O00030,P0064,5.0,112600.0
O00031,P0136,33.0,302500.0
O00031,P0117,36.0,489900.0
O00032,P0023,24.0,154900.0
O00032,P0047,7.0,223200.0
O00033,P0137,35.0,500200.0
O00033,P0150,49.0,
O00034,P0068,23.0,28000.0
O00034,P0008,8.0,236000.0
O00035,P0106,,428000.0
O00035,P0062,27.0,118100.0
O00035,P0084,11.0,25000.0
O00036,P0134,34.0,464300.0
O00036,P0080,8.0,469400.0
O00036,P0135,20.0,361300.0
O00037,P0028,42.0,242300.0
O00037,P0137,34.0,494100.0
O00038,P0118,18.0,434300.0
O00038,P0127,38.0,120900.0
O00039,P0141,33.0,54000.0
O00039,P0066,22.0,369700.0
O00040,P0057,,29000.0
O00040,P0012,27.0,361300.0
O00041,P0079,6.0,373700.0
O00041,P0095,17.0,257300.0
O00042,P0140,15.0,137400.0
O00042,P0007,35.0,404800.0
O00043,P0135,14.0,333600.0
O00043,P0031,48.0,59800.0
O00044,P0035,16.0,354000.0
O00044,P0008,38.0,279000.0
O00045,P0134,38.0,421000.0
O00045,P0049,20.0,126500.0
O00046,P0073,12.0,64400.0
O00046,P0086,5.0,135000.0
O00047,P0078,47.0,503800.0
O00047,P0024,49.0,263700.0
O00047,P0017,12.0,325100.0
O00048,P0119,16.0,88100.0
O00048,P0124,13.0,234400.0
O00049,P0045,34.0,74400.0
O00049,P0130,9.0,320800.0
O00050,P0120,,148100.0
O00050,P0140,25.0,142500.0
O00051,P0066,25.0,286000.0
O00051,P0123,16.0,211400.0
O00052,P0074,31.0,112800.0
O00052,P0079,13.0,419700.0
O00052,P0138,43.0,72900.0
O00053,P0138,-30.0,60700.0
O00053,P0096,14.0,157700.0
O00054,P0133,24.0,
O00054,P0007,3.0,345000.0
O00055,P0008,31.0,243800.0
O00055,P0050,32.0,
O00056,P0030,25.0,158600.0
O00056,P0085,36.0,222100.0
O00057,P0147,35.0,233600.0
O00057,P0059,36.0,449200.0
O00058,P0053,41.0,127800.0
O00058,P0046,39.0,380900.0
O00058,P0094,11.0,27200.0
O00059,P0114,39.0,237200.0
O00059,P0038,17.0,252400.0
O00059,P0068,26.0,23400.0
O00060,P0072,,168700.0
O00060,P0079,20.0,445200.0
O00061,P0004,31.0,323500.0
O00061,P0101,-15.0,80900.0
O00062,P0120,22.0,155200.0
O00062,P0090,50.0,387800.0
O00063,P0113,32.0,390600.0
O00063,P0100,1.0,73300.0
O00064,P0092,14.0,402100.0
O00064,P0012,13.0,359200.0
O00065,P0098,46.0,
O00065,P0113,28.0,406600.0
O00066,P0032,42.0,342000.0
O00066,P0060,15.0,285200.0
O00067,P0006,50.0,282100.0
O00067,P0085,18.0,221200.0
O00068,P0006,11.0,
O00068,P0072,19.0,177000.0
O00068,P0110,,276700.0
O00069,P0117,23.0,469500.0
O00069,P0085,45.0,218900.0
O00070,P0077,38.0,82900.0
O00070,P0142,2.0,160300.0
O00071,P0144,16.0,28500.0
O00071,P0037,26.0,193800.0
O00072,P0103,,320400.0
O00072,P0060,40.0,
O00073,P0086,2.0,153400.0
O00073,P0072,30.0,204100.0
O00073,P0058,50.0,499700.0
O00074,P0020,23.0,246000.0
O00074,P0056,10.0,376000.0
O00075,P0042,35.0,173300.0
O00075,P0012,26.0,438000.0
O00075,P0056,35.0,321700.0
O00076,P0150,18.0,15200.0
O00076,P0122,40.0,397000.0
O00076,P0018,6.0,
