order_id,pharmacy_id,warehouse_id,order_date,payment_term,payment_method,discount_applied,order_status
O00001,PH0001,W001,2022-05-10,Net30,Chuyển khoản,0.05,Completed
O00002,PH0001,W015,2025-05-06,COD,Tiền mặt,0.0,Completed
O00003,PH0001,W022,2022-04-04,COD,Tiền mặt,0.3,Completed
O00004,PH0001,W021,2021-05-19,COD,Tiền mặt,0.3,Completed
O00005,PH0002,W021,2025-02-16,Net30,Chuyển khoản,0.0,Cancelled
O00006,PH0002,W013,2023-03-29,Net30,Chuyển khoản,0.05,Completed
O00007,PH0002,W017,2025-03-28,COD,Tiền mặt,0.15,Completed
O00008,PH0002,W003,2024-05-26,COD,Tiền mặt,,Completed
O00009,PH0003,W023,2022-11-05,COD,Tiền mặt,0.0,Completed
O00010,PH0003,W009,2025-09-19,COD,Tiền mặt,0.0,Completed
O00011,PH0003,W009,2022-12-12,Net30,Chuyển khoản,0.0,Completed
O00012,PH0004,W007,2022-09-14,Net30,Thẻ,0.15,Completed
O00013,PH0004,W015,2024-06-04,,Chuyển khoản,0.0,
O00014,PH0004,W023,2023-02-06,Net60,Chuyển khoản,0.0,Completed
O00015,PH0004,W022,2025-07-17,Net60,Chuyển khoản,0.0,Completed
O00016,PH0004,W017,2025-02-25,Net60,Chuyển khoản,0.0,Cancelled
O00017,PH0005,W011,2025-08-08,COD,Tiền mặt,0.0,Completed
O00018,PH0005,W002,2023-12-12,Net60,Thẻ,0.1,Completed
O00019,PH0005,W017,2022-12-17,COD,Tiền mặt,0.15,Completed
O00020,PH0006,W024,2023-12-12,Net30,Chuyển khoản,0.0,Cancelled
O00021,PH0006,W002,2025-03-08,COD,Tiền mặt,,Cancelled
O00022,PH0006,W006,2025-06-12,COD,Tiền mặt,0.0,
O00023,PH0006,W001,2025-11-14,COD,Tiền mặt,0.1,Completed
O00024,PH0006,W020,2024-08-11,COD,Tiền mặt,0.0,Completed
O00025,PH0006,W010,2024-06-06,Net60,Thẻ,0.0,Cancelled
O00026,PH0007,W009,17/11/2022,COD,Tiền mặt,0.15,Completed
O00027,PH0007,W017,2025-04-30,COD,Tiền mặt,0.05,Returned
O00028,PH0007,W022,20/08/2020,Net60,Chuyển khoản,0.05,Completed
O00029,PH0007,W001,2023-04-13,COD,Tiền mặt,0.15,Completed
O00030,PH0007,W015,2020-05-30,,Chuyển khoản,0.0,Completed
O00031,PH0007,W021,2024-11-18,Net30,Chuyển khoản,0.15,Completed
O00032,PH0007,W025,2022-05-21,COD,Tiền mặt,0.0,Pending
O00033,PH0008,W006,2022-08-03,COD,Tiền mặt,0.05,Completed
O00034,PH0008,W006,2023-03-18,Net30,Chuyển khoản,0.15,Completed
O00035,PH0008,W005,08/12/2024,,Chuyển khoản,0.1,Completed
O00036,PH0009,W006,04-16-2024,COD,Tiền mặt,0.0,Pending
O00037,PH0009,W018,2022-05-29,Net60,Thẻ,0.0,Completed
O00038,PH0009,W002,2025-05-03,COD,Tiền mặt,,Pending
O00039,PH0009,W001,22/02/2022,Net30,Chuyển khoản,0.05,Completed
O00040,PH0009,W006,2021-12-19,Net30,Chuyển khoản,0.05,Completed
O00041,PH0009,W011,2022-11-12,Net30,Chuyển khoản,0.0,Completed
O00042,PH0009,W020,09/11/2021,COD,Tiền mặt,0.0,Completed
O00043,PH0010,W023,2022-09-05,Net30,Chuyển khoản,0.0,Pending
O00044,PH0010,W010,2023-09-10,Net30,Chuyển khoản,0.1,Completed
O00045,PH0011,W011,2025-06-05,COD,Tiền mặt,0.05,Completed
O00046,PH0011,W024,2025-02-24,COD,Tiền mặt,0.2,Completed
O00047,PH0011,W014,2025-03-17,COD,Tiền mặt,0.2,Completed
O00048,PH0011,W008,2025-04-02,Net60,Chuyển khoản,0.05,Completed
O00049,PH0011,W003,2025-02-23,COD,Tiền mặt,0.3,Completed
O00050,PH0012,W022,2025-05-08,Net30,Chuyển khoản,0.0,Completed
O00051,PH0012,W010,2025-08-12,Net60,Chuyển khoản,0.05,Completed
O00052,PH0013,W009,2024-12-06,COD,Tiền mặt,0.0,Cancelled
O00053,PH0013,W005,2025-04-09,COD,Tiền mặt,0.0,Completed
O00054,PH0013,W006,2024-11-20,,Chuyển khoản,0.2,Completed
O00055,PH0013,W003,2023-10-18,COD,Tiền mặt,0.0,Pending
O00056,PH0014,W025,2025-05-17,Net30,Chuyển khoản,0.0,Completed
O00057,PH0015,W025,2025-10-31,Net30,Chuyển khoản,0.05,Completed
O00058,PH0015,W021,15/12/2025,Net30,Chuyển khoản,0.0,
O00059,PH0016,W011,21/10/2024,COD,Tiền mặt,0.1,Completed
O00060,PH0016,W024,2025-10-29,Net60,Thẻ,0.2,Completed
O00061,PH0016,W003,2025-12-16,COD,Tiền mặt,0.0,Pending
O00062,PH0016,W010,2025-06-19,Net60,Chuyển khoản,,Completed
O00063,PH0016,W001,2024-11-23,COD,Tiền mặt,0.1,Completed
O00064,PH0017,W012,2021-02-28,Net30,Thẻ,0.0,Completed
O00065,PH0017,W007,2025-06-22,Net30,Chuyển khoản,,Completed
O00066,PH0017,W005,2025-01-22,Net30,Chuyển khoản,0.05,Completed
O00067,PH0017,W013,2021-10-20,COD,Tiền mặt,0.15,Completed
O00068,PH0018,W009,2023-07-06,COD,Tiền mặt,0.05,Completed
O00069,PH0019,W010,2025-07-13,Net30,Chuyển khoản,0.0,Completed
O00070,PH0019,W006,2024-05-25,COD,Tiền mặt,0.05,Completed
O00071,PH0019,W015,2025-11-06,COD,Tiền mặt,0.15,Completed
O00072,PH0019,W014,2024-12-10,COD,Tiền mặt,0.15,Completed
O00073,PH0019,W007,05-23-2025,Net30,Chuyển khoản,0.0,Completed
O00074,PH0019,W010,2024-10-08,COD,Tiền mặt,0.0,Completed
O00075,PH0021,W011,2025-11-20,COD,Tiền mặt,0.0,Cancelled
O00076,PH0021,W020,2024-07-30,Net30,Chuyển khoản,0.0,Completed
O00077,PH0022,W004,2025-06-05,COD,Tiền mặt,0.15,Completed
O00078,PH0022,W016,2023-10-15,COD,Tiền mặt,0.1,
