pharmacy_id,pharmacy_type,establishment_year,province,region,onboarding_date,acquisition_channel,credit_tier
PH0001,Quầy thuốc,2017.0,Đồng Nai,Nam,18/03/2021,Web portal,C
PH0002,,2016.0,Khánh Hòa,Trung,2022-01-16,Sales rep,B
PH0003,Quầy thuốc,1996.0,An Giang,Nam,2021-04-15,Web portal,B
PH0004,Nhà thuốc,2009.0,Hải Dương,Bắc,2022-02-03,Web portal,A
PH0005,Quầy thuốc,2005.0,,Trung,2021-01-08,Web portal,B
PH0006,Nhà thuốc,2016.0,Đồng Nai,Nam,06/09/2021,Sales rep,A
PH0007,Quầy thuốc,2016.0,Bình Định,Trung,2020-02-01,Hotline,A
PH0008,Quầy thuốc,,Bắc Ninh,Bắc,03-22-2020,Referral,A
PH0009,Phòng khám,2000.0,Long An,Nam,23/04/2021,Hotline,B
PH0010,,2022.0,Bắc Ninh,Bắc,2022-05-30,Sales rep,A
PH0011,Nhà thuốc,2024.0,Hải Phòng,Bắc,2024-08-13,Sales rep,B
PH0012,Phòng khám,2023.0,Cần Thơ,Nam,2024-08-17,Referral,A
PH0013,Quầy thuốc,,,Bắc,2023-08-25,Referral,C
PH0014,,2015.0,Hà Nội,Bắc,29/05/2023,Referral,B
PH0015,Nhà thuốc,2024.0,Đắk Lắk,Trung,2024-07-03,Referral,
PH0016,Quầy thuốc,,Thanh Hóa,Trung,2024-08-03,Hotline,C
PH0017,Nhà thuốc,1999.0,Đà Nẵng,Trung,02/09/2020,Web portal,C
PH0018,Nhà thuốc,1999.0,Lạng Sơn,Bắc,2022-06-07,Referral,
PH0019,Quầy thuốc,1995.0,Hà Nội,Bắc,2023-10-10,Web portal,B
PH0020,Nhà thuốc,1996.0,Tiền Giang,Nam,2022-06-27,Web portal,A
PH0021,Nhà thuốc,2023.0,Thái Nguyên,Bắc,2024-02-29,Sales rep,A
PH0022,Nhà thuốc,1900.0,Tiền Giang,Nam,2022-07-20,Web portal,B
PH0023,Quầy thuốc,2004.0,Cần Thơ,Nam,2024-07-13,Referral,B
PH0024,Nhà thuốc,2000.0,Tiền Giang,Nam,2022-09-17,Referral,A
PH0025,Phòng khám,1995.0,Bà Rịa - Vũng Tàu,Nam,2021-05-04,Web portal,B
PH0026,Nhà thuốc,2001.0,TP.HCM,Nam,2025-01-20,Web portal,B
PH0027,Phòng khám,2014.0,TP.HCM,Nam,23/05/2022,Web portal,B
PH0028,Nhà thuốc,2001.0,,Bắc,2023-02-04,Web portal,C
PH0029,Phòng khám,2001.0,Nam Định,Bắc,04/06/2021,Web portal,C
PH0030,Quầy thuốc,1995.0,Đồng Nai,Nam,2022-03-11,Web portal,C
PH0031,Bệnh viện,2003.0,Long An,Nam,11-21-2023,Hotline,C
PH0032,Bệnh viện,2022.0,Thanh Hóa,Trung,08/03/2022,Sales rep,C
PH0033,Phòng khám,2005.0,Bà Rịa - Vũng Tàu,Nam,18/02/2022,Referral,B
PH0034,???,2020.0,Bình Định,Trung,2024-02-18,Sales rep,C
PH0035,Phòng khám,2007.0,Bình Dương,Nam,2023-07-20,Referral,C
PH0036,Quầy thuốc,2008.0,Hải Dương,Bắc,16/10/2023,Web portal,A
PH0037,Quầy thuốc,2002.0,Thanh Hóa,Trung,2020-08-24,Web portal,C
PH0038,Nhà thuốc,1996.0,Long An,Nam,2024-02-25,Hotline,B
PH0039,Quầy thuốc,,Hà Nội,Bắc,16/04/2020,Referral,B
PH0040,Quầy thuốc,2007.0,An Giang,Nam,2022-01-09,Referral,
PH0041,Nhà thuốc,2019.0,Thừa Thiên Huế,Trung,2023-07-30,Hotline,B
PH0042,Phòng khám,2023.0,Hải Phòng,Bắc,2023-10-28,Sales rep,A
PH0043,Phòng khám,2017.0,Thái Nguyên,Bắc,2022-01-15,Referral,B
PH0044,Nhà thuốc,2001.0,Long An,Nam,2020-03-25,Sales rep,A
PH0045,Nhà thuốc,2007.0,Tiền Giang,Nam,2020-09-05,Sales rep,A
PH0046,Phòng khám,2011.0,Nghệ An,Trung,2020-07-06,Referral,B
