product_id,product_name,category,sub_category,manufacturer,base_price,drug_type
P0001,Beta-lactam Kháng-001,Kháng sinh,,Traphaco,396000.0,Rx
P0002,Chống đông Tim-002,Tim mạch,Chống đông,,323600.0,Rx
P0003,Sulfonylurea Tiểu-003,Tiểu đường,Sulfonylurea,DHG Pharma,471900.0,Rx
P0004,Giãn cơ Giảm-004,Giảm đau - Hạ sốt,Giãn cơ,Pymepharco,347800.0,OTC
P0005,Đa vitamin Vitamin-005,Vitamin - TPCN,Đa vitamin,Traphaco,472900.0,OTC
P0006,Kháng acid Tiêu-006,Tiêu hóa,Kháng acid,OPV,312500.0,OTC
P0007,Kháng histamin Hô-007,Hô hấp,Kháng histamin,Imexpharm,378800.0,OTC
P0008,Kháng nấm Da-008,Da liễu,Kháng nấm,Pymepharco,244100.0,OTC
P0009,Quinolon Kháng-009,Kháng sinh,Quinolon,Stella,352800.0,Rx
P0010,Hạ huyết áp Tim-010,Tim mạch,Hạ huyết áp,Imexpharm,204200.0,Rx
P0011,Sulfonylurea Tiểu-011,Tiểu đường,,Sanofi VN,54900.0,Rx
P0012,Paracetamol Giảm-012,Giảm đau - Hạ sốt,Paracetamol,DHG Pharma,411400.0,OTC
P0013,Khoáng chất Vitamin-013,Vitamin - TPCN,Khoáng chất,DHG Pharma,100900.0,OTC
P0014,Nhuận tràng Tiêu-014,Tiêu hóa,Nhuận tràng,DHG Pharma,281600.0,OTC
P0015,Xịt mũi Hô-015,Hô hấp,Xịt mũi,DHG Pharma,393700.0,OTC
P0016,Dưỡng ẩm Da-016,Da liễu,Dưỡng ẩm,Traphaco,247800.0,OTC
P0017,Quinolon Kháng-017,Kháng sinh,Quinolon,Mekophar,311200.0,Rx
P0018,Hạ mỡ máu Tim-018,Tim mạch,Hạ mỡ máu,DHG Pharma,178500.0,Rx
P0019,Insulin Tiểu-019,Tiểu đường,Insulin,Imexpharm,129100.0,Rx
P0020,Paracetamol Giảm-020,Giảm đau - Hạ sốt,Paracetamol,Imexpharm,238100.0,OTC
P0021,Khoáng chất Vitamin-021,Vitamin - TPCN,Khoáng chất,OPV,32000.0,OTC
P0022,Men vi sinh Tiêu-022,Tiêu hóa,,Pymepharco,204300.0,OTC
P0023,Ho - Long đờm Hô-023,Hô hấp,Ho - Long đờm,Sanofi VN,162800.0,OTC
P0024,Kháng nấm Da-024,Da liễu,Kháng nấm,DHG Pharma,287100.0,OTC
P0025,Macrolid Kháng-025,Kháng sinh,Macrolid,OPV,11100.0,Rx
P0026,Hạ huyết áp Tim-026,Tim mạch,Hạ huyết áp,Sanofi VN,236800.0,Rx
P0027,Insulin Tiểu-027,Tiểu đường,Insulin,OPV,457100.0,Rx
P0028,NSAID Giảm-028,Giảm đau - Hạ sốt,NSAID,Pymepharco,257100.0,OTC
P0029,Khoáng chất Vitamin-029,Vitamin - TPCN,Khoáng chất,Pymepharco,439300.0,OTC
P0030,Men vi sinh Tiêu-030,Tiêu hóa,Men vi sinh,DHG Pharma,,OTC
P0031,Xịt mũi Hô-031,Hô hấp,Xịt mũi,Stella,69600.0,OTC
P0032,Bôi ngoài da Da-032,Da liễu,Bôi ngoài da,DHG Pharma,,OTC
