engagement_id,pharmacy_id,contact_date,channel,engagement_type,is_responded,is_ordered,offer_value
E00001,PH0357,12-28-2022,Zalo,Khuyến mãi,1,0,645000.0
E00002,PH0189,2025-08-04,Call,Nhắc đặt lại,0,0,0.0
E00003,PH0012,2025-12-12,Zalo,Nhắc đặt lại,1,1,0.0
E00004,PH0728,2025-04-20,Zalo,Thăm trình dược,1,1,0.0
E00005,PH0542,2024-05-03,Zalo,Nhắc đặt lại,1,1,0.0
E00006,PH0232,05-24-2023,Call,Nhắc đặt lại,0,0,0.0
E00007,PH0011,2025-04-04,Zalo,Khuyến mãi,0,0,0.0
E00008,PH0598,2025-08-13,Sales rep,Khuyến mãi,0,0,1622000.0
E00009,PH0577,07/12/2025,Sales rep,Hàng mới,1,0,837000.0
E00010,PH0586,2023-02-19,Pigeon,,1,1,0.0
E00011,PH0177,2024-11-14,Email,Nhắc đặt lại,0,0,0.0
E00012,PH0661,2025-04-26,Zalo,Thăm trình dược,1,1,990000.0
E00013,PH0189,2025-11-06,Call,Thăm trình dược,1,0,658000.0
E00014,PH0314,09/10/2024,Sales rep,Khuyến mãi,1,0,44000.0
E00015,PH0239,24/02/2025,Sales rep,Nhắc đặt lại,0,0,0.0
E00016,PH0610,2025-07-01,Zalo,Nhắc đặt lại,1,0,0.0
E00017,PH0040,2025-12-10,Zalo,Khuyến mãi,1,1,64000.0
E00018,PH0767,2024-06-14,Zalo,Thăm trình dược,1,1,0.0
E00019,PH0355,2024-10-17,Sales rep,Nhắc đặt lại,1,0,0.0
E00020,PH0644,2023-06-05,Sales rep,Thăm trình dược,1,0,1355000.0
E00021,PH0058,2023-05-13,Sales rep,Nhắc đặt lại,0,0,473000.0
E00022,PH0569,2025-10-03,Email,Thăm trình dược,0,0,1313000.0
E00023,PH0048,29/05/2025,Sales rep,Nhắc đặt lại,0,0,410000.0
E00024,PH0601,2025-12-10,Zalo,Nhắc đặt lại,1,1,0.0
E00025,PH0720,2024-09-22,Sales rep,Thăm trình dược,0,0,899000.0
E00026,PH0271,13/07/2025,Email,Nhắc đặt lại,1,0,0.0
E00027,PH0396,2025-06-14,Zalo,Khuyến mãi,1,0,1885000.0
E00028,PH0473,2021-02-14,Zalo,Thăm trình dược,1,1,1739000.0
E00029,PH0411,2024-12-27,Call,Hàng mới,1,0,0.0
E00030,PH0148,01-21-2024,Zalo,Hàng mới,1,1,1446000.0
E00031,PH0626,22/12/2024,,Hàng mới,0,0,1990000.0
E00032,PH0633,2021-05-23,Sales rep,Thăm trình dược,1,1,862000.0
E00033,PH0111,2023-12-02,Email,Hàng mới,1,0,0.0
E00034,PH0775,2024-10-26,Zalo,Thăm trình dược,0,0,32000.0
E00035,PH0798,2023-05-02,Call,Nhắc đặt lại,0,0,0.0
E00036,PH0616,2025-06-19,Call,Khuyến mãi,0,0,0.0
E00037,PH0782,2021-10-17,Email,Thăm trình dược,0,0,0.0
E00038,PH0666,2023-11-09,Call,Nhắc đặt lại,0,0,0.0
E00039,PH0482,2023-09-01,Pigeon,Hàng mới,1,0,80000.0
E00040,PH0259,2023-09-18,Zalo,Hàng mới,0,0,582000.0
E00041,PH0517,2025-07-24,Call,Khuyến mãi,0,0,0.0
E00042,PH0403,2024-06-18,Email,Nhắc đặt lại,1,0,1915000.0
E00043,PH0080,2024-01-10,Sales rep,Nhắc đặt lại,1,0,0.0
E00044,PH0123,08-23-2025,Email,Nhắc đặt lại,0,0,1827000.0
E00045,PH0633,20/07/2024,Call,Thăm trình dược,0,0,0.0
E00046,PH0731,2022-10-11,Call,Khuyến mãi,1,1,1215000.0
E00047,PH0779,2025-10-07,Pigeon,Khuyến mãi,Yes,0,1617000.0
E00048,PH0084,2025-04-23,Zalo,Hàng mới,1,0,0.0
E00049,PH0294,2024-12-10,Zalo,,0,0,684000.0
E00050,PH0533,2025-12-10,Email,Khuyến mãi,1,0,0.0
E00051,PH0638,2025-03-26,Call,Hàng mới,1,0,1910000.0
E00052,PH0236,03-01-2025,Email,Nhắc đặt lại,1,0,0.0
E00053,PH0501,2025-07-13,Sales rep,Nhắc đặt lại,0,0,0.0
E00054,PH0122,2025-04-12,Zalo,Thăm trình dược,0,0,1026000.0
E00055,PH0140,2024-02-11,Zalo,Khuyến mãi,0,0,0.0
E00056,PH0322,12/06/2024,Zalo,Hàng mới,1,1,1976000.0
E00057,PH0447,2025-01-15,Zalo,Khuyến mãi,1,0,0.0
E00058,PH0630,2021-08-28,Call,Hàng mới,1,0,1726000.0
E00059,PH0614,2022-08-28,Sales rep,Khuyến mãi,0,0,1758000.0
E00060,PH0671,2025-09-20,Email,Hàng mới,1,1,1083000.0
E00061,PH0631,2025-10-15,Zalo,Khuyến mãi,0,0,526000.0
E00062,PH0497,2025-12-08,,Khuyến mãi,1,1,0.0
E00063,PH0220,06/12/2021,,Khuyến mãi,1,1,0.0
E00064,PH0180,2025-06-18,Email,Thăm trình dược,1,1,1759000.0
E00065,PH0168,2025-03-27,Email,Nhắc đặt lại,TRUE,0,1851000.0
E00066,PH0305,2024-02-23,Zalo,Nhắc đặt lại,1,0,1517000.0
E00067,PH0054,31/01/2025,Email,Thăm trình dược,1,0,982000.0
E00068,PH0551,2025-03-15,Email,Thăm trình dược,1,0,1983000.0
E00069,PH0590,2025-03-04,Sales rep,Hàng mới,1,1,228000.0
E00070,PH0492,11-21-2025,Call,Khuyến mãi,1,1,521000.0
E00071,PH0370,2024-11-30,Call,Nhắc đặt lại,1,0,496000.0
E00072,PH0719,04-02-2023,Zalo,Hàng mới,TRUE,0,0.0
E00073,PH0129,2022-06-07,Call,Thăm trình dược,0,0,1429000.0
E00074,PH0542,2021-12-18,Sales rep,Hàng mới,1,0,1764000.0
E00075,PH0190,2025-07-22,Sales rep,Nhắc đặt lại,0,0,1973000.0
E00076,PH0316,2025-12-20,Sales rep,Nhắc đặt lại,1,0,605000.0
E00077,PH0689,2025-04-10,Zalo,Hàng mới,Yes,0,0.0
E00078,PH0119,2025-12-20,Sales rep,,0,0,0.0
E00079,PH0513,2024-01-28,Sales rep,Nhắc đặt lại,0,0,1387000.0
E00080,PH0419,2023-01-20,Zalo,Hàng mới,0,0,0.0
E00081,PH0236,09-01-2024,Sales rep,,1,0,0.0
E00082,PH0602,2025-09-26,Zalo,Khuyến mãi,1,1,1889000.0
E00083,PH0237,2025-12-26,Email,Nhắc đặt lại,1,1,277000.0
E00084,PH0669,01/07/2024,Zalo,Khuyến mãi,0,0,0.0
E00085,PH0624,2024-02-15,Call,Hàng mới,0,0,0.0
E00086,PH0736,2025-01-14,Pigeon,Nhắc đặt lại,1,0,0.0
E00087,PH0589,2023-06-19,Call,Thăm trình dược,1,0,56000.0
E00088,PH0522,2025-10-02,Sales rep,Khuyến mãi,0,0,1086000.0
E00089,PH0523,2025-01-03,Email,Hàng mới,1,0,
E00090,PH0390,2025-02-17,Sales rep,Khuyến mãi,0,0,271000.0
E00091,PH0696,03/07/2025,Zalo,Hàng mới,0,1,1850000.0
E00092,PH0459,03-31-2025,Sales rep,Hàng mới,1,1,
E00093,PH0138,10-19-2025,Sales rep,Nhắc đặt lại,0,0,0.0
E00094,PH0149,2022-05-06,Email,Nhắc đặt lại,1,1,0.0
E00095,PH0018,2025-07-09,Sales rep,Thăm trình dược,0,0,0.0
E00096,PH0307,12/12/2023,Zalo,Nhắc đặt lại,1,0,0.0
E00097,PH0208,10-11-2025,Zalo,,1,0,0.0
E00098,PH0023,2024-12-21,Sales rep,Thăm trình dược,1,0,0.0
E00099,PH0356,2022-09-23,Call,Nhắc đặt lại,1,0,
E00100,PH0241,2025-09-29,Call,Hàng mới,0,0,
E00101,PH0072,16/04/2024,Sales rep,Khuyến mãi,0,0,1094000.0
E00102,PH0654,2025-07-27,Call,Khuyến mãi,1,0,1834000.0
E00103,PH0420,2023-10-24,,Hàng mới,1,0,215000.0
E00104,PH0537,2025-01-02,Call,Hàng mới,1,0,305000.0
E00105,PH0259,2025-12-24,Sales rep,Thăm trình dược,0,0,1126000.0
E00106,PH0290,15/06/2025,Zalo,Thăm trình dược,1,0,778000.0
E00107,PH0292,2025-11-23,Email,Nhắc đặt lại,1,1,0.0
E00108,PH0674,2021-11-19,Zalo,Thăm trình dược,1,0,904000.0
E00109,PH0172,2024-05-06,Call,Nhắc đặt lại,1,1,1584000.0
E00110,PH0381,2024-06-07,,Nhắc đặt lại,0,0,
E00111,PH0220,2024-10-30,Email,Nhắc đặt lại,1,0,769000.0
E00112,PH0714,2024-11-10,Zalo,Nhắc đặt lại,0,1,339000.0
E00113,PH0061,2025-01-24,Zalo,Nhắc đặt lại,0,0,623000.0
E00114,PH0019,2024-10-27,Email,Khuyến mãi,0,0,0.0
E00115,PH0690,04/05/2025,Call,Hàng mới,0,0,1363000.0
E00116,PH0329,07-26-2025,Email,Thăm trình dược,0,0,1025000.0
E00117,PH0426,2025-08-19,Zalo,Nhắc đặt lại,1,0,897000.0
E00118,PH0070,2024-08-04,Sales rep,,1,1,0.0
E00119,PH0711,2025-05-26,Zalo,Thăm trình dược,1,1,448000.0
E00120,PH0246,05-29-2024,,Thăm trình dược,0,0,0.0
