ticket_id,pharmacy_id,created_date,channel,issue_type,resolution_status,satisfaction_score
T0001,PH0234,2025-06-28,Call,Giao trễ,Pending,
T0002,PH0451,2025-01-27,Zalo,Công nợ,Escalated,
T0003,PH0323,08/07/2025,Call,Sai hàng,Resolved,1.0
T0004,PH0413,2024-03-15,Sales rep,Chất lượng,Resolved,1.0
T0005,PH0007,2022-11-05,Zalo,Công nợ,Resolved,2.0
T0006,PH0246,2024-05-10,Email,Chất lượng,Resolved,2.0
T0007,PH0229,2025-07-04,Sales rep,Đổi trả,Pending,
T0008,PH0098,2023-05-07,Call,,Pending,
T0009,PH0012,2024-08-17,Call,Đổi trả,Resolved,
T0010,PH0099,08-21-2025,Zalo,Công nợ,Resolved,4.0
T0011,PH0066,03-04-2024,Zalo,Sai hàng,Resolved,4.0
T0012,PH0491,2024-05-16,Sales rep,Đổi trả,Resolved,3.0
T0013,PH0405,23/06/2024,Call,Chất lượng,Escalated,
T0014,PH0258,31/08/2025,Sales rep,Công nợ,Resolved,3.0
T0015,PH0070,2025-01-02,Zalo,,Resolved,3.0
T0016,PH0714,2021-07-22,Email,Công nợ,Resolved,5.0
T0017,PH0671,2024-10-26,Zalo,Giao trễ,Resolved,4.0
T0018,PH0088,2025-02-04,Zalo,Sai hàng,Resolved,4.0
T0019,PH0782,2025-04-07,Pigeon,Chất lượng,Resolved,2.0
T0020,PH0011,08-26-2025,Pigeon,Chất lượng,Resolved,5.0
T0021,PH0146,2025-09-29,Zalo,Sai hàng,Resolved,5.0
T0022,PH0388,07-01-2024,Email,Công nợ,Resolved,4.0
T0023,PH0479,2024-03-02,Call,Chất lượng,Resolved,5.0
T0024,PH0329,2025-08-31,Email,Công nợ,Resolved,3.0
T0025,PH0784,2025-06-07,Zalo,Công nợ,Resolved,5.0
T0026,PH0455,2025-12-22,Sales rep,Sai hàng,Resolved,1.0
T0027,PH0057,2022-08-15,Sales rep,Sai hàng,Pending,
T0028,PH0533,20/03/2023,Call,Sai hàng,Resolved,3.0
T0029,PH0138,2025-12-01,Call,Đổi trả,Escalated,
T0030,PH0012,2025-08-09,Zalo,Đổi trả,Resolved,
T0031,PH0151,30/06/2025,Email,Sai hàng,Resolved,5.0
T0032,PH0627,2025-01-27,Sales rep,Chất lượng,Resolved,2.0
T0033,PH0137,07-31-2024,Call,Công nợ,Pending,
T0034,PH0460,2025-04-25,Call,Chất lượng,Escalated,
T0035,PH0756,2023-07-31,Email,Chất lượng,Resolved,5.0
T0036,PH0291,2025-10-11,Email,Sai hàng,Resolved,1.0
T0037,PH0596,2022-06-13,Email,Chất lượng,Resolved,1.0
T0038,PH0448,2024-08-03,Email,Đổi trả,Resolved,2.0
T0039,PH0061,2024-09-21,,Chất lượng,Resolved,3.0
T0040,PH0288,2024-04-16,Zalo,Sai hàng,Resolved,3.0
T0041,PH0080,02-16-2024,Sales rep,Sai hàng,Resolved,1.0
T0042,PH0346,2024-12-27,Sales rep,Chất lượng,Resolved,2.0
T0043,PH0413,2023-07-08,Zalo,Giao trễ,Resolved,2.0
T0044,PH0193,02/06/2021,Zalo,Đổi trả,Resolved,2.0
T0045,PH0411,2025-03-25,Zalo,Giao trễ,Resolved,1.0
T0046,PH0648,2025-02-15,Call,Sai hàng,Pending,
T0047,PH0454,2025-10-20,Zalo,Đổi trả,Resolved,1.0
T0048,PH0237,10-04-2025,Call,,Resolved,1.0
T0049,PH0258,2024-05-21,Call,Sai hàng,Resolved,1.0
T0050,PH0679,2025-08-19,Sales rep,Chất lượng,Resolved,5.0
T0051,PH0418,10-31-2025,Sales rep,Công nợ,Resolved,3.0
T0052,PH0132,03/03/2023,Zalo,Chất lượng,Resolved,
T0053,PH0532,2025-08-09,Call,Công nợ,Pending,
T0054,PH0204,2025-09-14,Zalo,Giao trễ,Resolved,
